"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Mental Health","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","p_crd_mhlth","TimeFrame","GeoVintage","Source","Location"
"Census Tract","34007608304","NJ","34007608304","=""34007608304""","15.7","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007608401","NJ","34007608401","=""34007608401""","17.0","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007608402","NJ","34007608402","=""34007608402""","15.3","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007608403","NJ","34007608403","=""34007608403""","16.0","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007608404","NJ","34007608404","=""34007608404""","16.2","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007608503","NJ","34007608503","=""34007608503""","17.8","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007608504","NJ","34007608504","=""34007608504""","19.2","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007608600","NJ","34007608600","=""34007608600""","18.0","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007608700","NJ","34007608700","=""34007608700""","14.9","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007608800","NJ","34007608800","=""34007608800""","16.4","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007608901","NJ","34007608901","=""34007608901""","16.5","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007608903","NJ","34007608903","=""34007608903""","15.5","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007608904","NJ","34007608904","=""34007608904""","15.4","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007609000","NJ","34007609000","=""34007609000""","17.4","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007609103","NJ","34007609103","=""34007609103""","15.0","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007609201","NJ","34007609201","=""34007609201""","17.6","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007609202","NJ","34007609202","=""34007609202""","18.0","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007609203","NJ","34007609203","=""34007609203""","15.6","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007609204","NJ","34007609204","=""34007609204""","18.5","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007609205","NJ","34007609205","=""34007609205""","15.3","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007610300","NJ","34007610300","=""34007610300""","20.7","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007610400","NJ","34007610400","=""34007610400""","21.4","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007610500","NJ","34007610500","=""34007610500""","18.4","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007610600","NJ","34007610600","=""34007610600""","14.0","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007610800","NJ","34007610800","=""34007610800""","16.9","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007610900","NJ","34007610900","=""34007610900""","15.1","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007611000","NJ","34007611000","=""34007611000""","17.8","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007611100","NJ","34007611100","=""34007611100""","16.0","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007611200","NJ","34007611200","=""34007611200""","14.8","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007611300","NJ","34007611300","=""34007611300""","16.1","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007611400","NJ","34007611400","=""34007611400""","16.8","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007611500","NJ","34007611500","=""34007611500""","15.3","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007611600","NJ","34007611600","=""34007611600""","17.6","2021","2010","CDC_PLACES","Camden (County, 2022)"
"Census Tract","34007611700","NJ","34007611700","=""34007611700""","16.3","2021","2010","CDC_PLACES","Camden (County, 2022)"
