Census Tract,Population 16 Years and Over:,Population 16 Years and Over: In Labor Force,Population 16 Years and Over: In Labor Force: Civilian: Employed,Population 16 Years and Over: In Labor Force: Civilian: Unemployed,Population 16 Years and Over: Not in Labor Force,Population 25 Years and Over:,Population 25 Years and Over: Less than High School,Population 25 Years and Over: High School Graduate (Includes Equivalency),Population 25 Years and Over: Some College,Population 25 Years and Over: Bachelor's Degree,Population 25 Years and Over: Master's Degree,Population 25 Years and Over: Professional School Degree,Population 25 Years and Over: Doctorate Degree,Average Family Income (In 2022 Inflation Adjusted Dollars),Households:,Households: With Public Assistance Income,Households: No Public Assistance Income,Households: With Retirement Income,Households: No Retirement Income,Families: 3.00 to 3.99,Families: 4.00 to 4.99,Families: 5.00 and Over,Total:,Total: No Health Insurance Coverage,Total: With Health Insurance Coverage,Total: With Health Insurance Coverage: Public Health Coverage,Total: With Health Insurance Coverage: Private Health Insurance,Population Under 18:,Population Under 18: No Health Insurance Coverage,Population Under 18: With Health Insurance Coverage,Population 18 to 24:,Population 18 to 24: No Health Insurance Coverage,Population 18 to 24: With Health Insurance Coverage,Population 25 to 34:,Population 25 to 34: No Health Insurance Coverage,Population 25 to 34: With Health Insurance Coverage,Population 35 to 64:,Population 35 to 64: No Health Insurance Coverage,Population 35 to 64: With Health Insurance Coverage,Population 65 or Older:,Population 65 or Older: No Health Insurance Coverage,Population 65 or Older: With Health Insurance Coverage
Geo_TRACT,SE_A17002_001,SE_A17002_002,SE_A17002_005,SE_A17002_006,SE_A17002_007,SE_A12002_001,SE_A12002_002,SE_A12002_003,SE_A12002_004,SE_A12002_005,SE_A12002_006,SE_A12002_007,SE_A12002_008,SE_A14011_001,SE_A10014_001,SE_A10014_002,SE_A10014_003,SE_A10015_002,SE_A10015_003,SE_D13004_004,SE_D13004_005,SE_D13004_006,SE_A20001_001,SE_A20001_002,SE_A20001_003,SE_A20001_004,SE_A20001_005,SE_A20002_002,SE_A20002_003,SE_A20002_004,SE_A20002_007,SE_A20002_008,SE_A20002_009,SE_A20002_012,SE_A20002_013,SE_A20002_014,SE_A20002_017,SE_A20002_018,SE_A20002_019,SE_A20002_022,SE_A20002_023,SE_A20002_024
601400,3413,1709,1262,447,1704,2641,833,977,662,136,33,0,0,57577.81955,1442,109,1333,333,1109,162,49,71,4181,433,3748,2847,1307,1029,27,1002,521,164,357,378,56,322,1736,186,1550,517,0,517
601500,4257,2589,2102,487,1668,3737,829,1542,1192,120,0,0,54,62095.7477,2300,174,2126,141,2159,24,60,217,5373,419,4954,3440,2242,1249,11,1238,513,60,453,728,65,663,2060,283,1777,823,0,823
601600,1907,1143,1013,130,764,1669,528,516,496,68,61,0,0,49319.75117,950,41,909,68,882,49,0,100,2394,405,1989,1498,696,608,9,599,298,92,206,321,55,266,1004,249,755,163,0,163
601700,1785,977,724,253,808,1287,240,642,286,119,0,0,0,44315.78171,1122,87,1035,66,1056,0,29,66,2805,112,2693,2366,389,1200,0,1200,318,34,284,209,0,209,878,78,800,200,0,200
601800,628,376,344,32,252,572,170,159,242,1,0,0,0,80956.28141,368,45,323,13,355,46,53,28,918,121,797,499,314,303,0,303,43,0,43,11,0,11,492,121,371,69,0,69
601900,1802,1103,1002,101,699,1607,364,552,447,79,165,0,0,49642.5,990,169,821,176,814,60,20,94,2701,113,2588,1762,1003,991,0,991,217,0,217,451,48,403,793,65,728,249,0,249
602000,3830,2304,1731,573,1526,3386,431,1281,1120,246,268,0,40,48829.994,2176,170,2006,263,1913,92,176,36,6221,198,6023,4462,1924,2501,0,2501,434,125,309,742,24,718,2228,49,2179,316,0,316
602503,1975,1241,1125,106,734,1757,394,623,467,191,72,0,10,100409.1047,826,41,785,167,659,144,21,213,2548,329,2219,1085,1316,656,0,656,212,63,149,279,64,215,1060,192,868,341,10,331
602601,2354,1455,1321,134,899,1963,353,695,389,384,121,20,1,94415.32365,987,15,972,350,637,151,140,148,3014,100,2914,1067,2206,855,0,855,222,17,205,270,30,240,1246,53,1193,421,0,421
602602,2825,1963,1754,209,862,2160,614,881,386,135,144,0,0,94406.17978,1059,11,1048,156,903,152,75,266,3605,397,3208,1700,1910,1038,37,1001,435,36,399,298,119,179,1482,205,1277,352,0,352
602901,4266,2839,2764,75,1427,3703,238,1239,1004,770,343,46,63,125861.9866,2000,8,1992,608,1392,114,223,615,4835,177,4658,1611,3974,683,64,619,521,25,496,559,27,532,2107,61,2046,965,0,965
602902,2300,1564,1428,136,736,2102,240,664,590,417,160,14,17,93769.48529,1192,153,1039,165,1027,41,117,295,2975,129,2846,1569,1611,727,11,716,146,22,124,479,0,479,1283,96,1187,340,0,340
603001,3292,2407,2051,356,885,2939,419,1060,822,402,171,46,19,109528.6416,1416,56,1360,372,1044,114,74,502,4241,280,3961,1904,2417,1070,48,1022,281,31,250,543,34,509,1780,167,1613,567,0,567
603002,3536,2533,2256,266,1003,2890,632,1022,736,351,113,29,7,107987.7177,1371,46,1325,308,1063,193,63,349,4502,739,3763,1474,2822,1125,68,1057,513,78,435,681,196,485,1609,397,1212,574,0,574
603100,3081,2143,2089,54,938,2517,190,812,725,496,207,72,15,129329.9667,1473,40,1433,326,1147,69,52,454,3800,310,3490,1463,2582,1038,30,1008,248,61,187,418,92,326,1486,127,1359,610,0,610
603201,3752,2439,2219,201,1313,3261,626,615,865,566,515,64,10,104357.4521,1781,17,1764,561,1220,229,114,407,4440,294,4146,1304,3310,990,28,962,303,24,279,520,54,466,1930,188,1742,697,0,697
603202,2241,1497,1438,42,744,2016,65,382,398,444,476,200,51,181009.8571,1294,8,1286,334,960,115,53,359,2591,106,2485,714,2184,457,84,373,254,0,254,351,8,343,945,14,931,584,0,584
603301,4786,3471,3238,217,1315,4428,389,893,1569,988,365,147,77,173969.344,2263,29,2234,511,1752,325,137,874,5755,604,5151,2077,3952,1171,85,1086,341,0,341,792,183,609,2330,336,1994,1121,0,1121
603302,5199,3620,3459,161,1579,4190,215,1217,775,1081,548,132,222,179503.5668,2266,16,2250,683,1583,306,238,775,6214,155,6059,1660,5087,1368,39,1329,665,0,665,298,0,298,2706,116,2590,1177,0,1177
603303,2657,1418,1201,217,1239,2468,220,744,504,580,349,26,45,119521.9941,1233,32,1201,312,921,43,56,282,3179,126,3053,1033,2390,679,45,634,159,5,154,622,27,595,1049,49,1000,670,0,670
603400,6514,4389,4245,144,2125,5882,471,1517,1586,1364,648,183,113,124930.1887,3107,18,3089,798,2309,451,188,945,7908,351,7557,3062,5625,1680,0,1680,549,52,497,1458,104,1354,2681,195,2486,1540,0,1540
603501,4960,3123,2893,230,1837,4385,204,453,664,1624,568,516,356,175520.2116,2433,0,2433,602,1831,148,122,1212,5990,38,5952,1860,5022,1271,0,1271,521,0,521,301,0,301,2585,38,2547,1312,0,1312
603503,3668,2517,2384,101,1151,3271,66,293,463,1018,847,378,206,227145.8937,1608,25,1583,489,1119,184,95,1035,4827,22,4805,1219,4342,1381,0,1381,207,0,207,315,10,305,1940,0,1940,984,12,972
603504,2643,1676,1562,105,967,2314,57,495,452,728,320,200,62,225837.7336,1051,4,1047,365,686,56,118,595,3253,31,3222,826,2994,743,15,728,260,0,260,301,0,301,1266,16,1250,683,0,683
603505,3074,2363,2197,166,711,2787,101,894,579,833,294,22,64,133453.6184,1350,17,1333,385,965,210,179,722,3700,43,3657,895,3134,699,0,699,214,0,214,392,34,358,1858,9,1849,537,0,537
603506,4794,3072,2893,179,1722,4240,126,457,742,1498,1038,249,130,202230.5211,2112,0,2112,578,1534,16,199,1171,6058,15,6043,1680,5058,1497,0,1497,347,0,347,380,0,380,2698,15,2683,1136,0,1136
603507,6312,3856,3537,293,2456,5677,380,907,663,1652,1122,639,314,204290.5495,2931,84,2847,611,2320,136,253,1525,7342,119,7223,2223,5868,1533,32,1501,336,0,336,526,11,515,3324,76,3248,1623,0,1623
