Census Tract,Population 16 Years and Over:,Population 16 Years and Over: In Labor Force,Population 16 Years and Over: In Labor Force: Civilian: Employed,Population 16 Years and Over: In Labor Force: Civilian: Unemployed,Population 16 Years and Over: Not in Labor Force,Population 25 Years and Over:,Population 25 Years and Over: Less than High School,Population 25 Years and Over: High School Graduate (Includes Equivalency),Population 25 Years and Over: Some College,Population 25 Years and Over: Bachelor's Degree,Population 25 Years and Over: Master's Degree,Average Family Income (In 2022 Inflation Adjusted Dollars),Households:,Households: With Public Assistance Income,Households: No Public Assistance Income,Households: With Retirement Income,Households: No Retirement Income,Total:,Total: No Health Insurance Coverage,Total: With Health Insurance Coverage,Population 25 to 34:,Population 25 to 34: No Health Insurance Coverage,Population 25 to 34: With Health Insurance Coverage,Population 65 or Older:,Population 65 or Older: No Health Insurance Coverage,Population 65 or Older: With Health Insurance Coverage
Geo_TRACT,Pop_16yrs_Over,Labor_16Plus,Employed_16Plus,Unemployed_16Plus,Not_Labor_16Plus,Pop_25Plus,Less_HS_25Plus,HS_Grads_25Plus,Some_College_25Plus,Bachelors_25Plus,Masters_25Plus,Avg_Fam_Inc,Households,Housholds_Public_AssistInc,Housholds_No_Public_Assist,Housholds_Retire_Inc,Housholds_No_Retir_Inc,Total,Total_No_Health_Ins,Total_With_Health_Ins,Pop_25_34,Pop_25_34_No_Health_Ins,Pop_25_34_With_Health_Ins,Pop_65Plus,Pop_65Plus_No_Health_Ins,Pop_65Plus_With_Health_Ins
602000,3830,2304,1731,573,1526,3386,431,1281,1120,246,268,48829.994,2176,170,2006,263,1913,6221,198,6023,742,24,718,316,0,316
602503,1975,1241,1125,106,734,1757,394,623,467,191,72,100409.1047,826,41,785,167,659,2548,329,2219,279,64,215,341,10,331
602601,2354,1455,1321,134,899,1963,353,695,389,384,121,94415.32365,987,15,972,350,637,3014,100,2914,270,30,240,421,0,421
602602,2825,1963,1754,209,862,2160,614,881,386,135,144,94406.17978,1059,11,1048,156,903,3605,397,3208,298,119,179,352,0,352
602901,4266,2839,2764,75,1427,3703,238,1239,1004,770,343,125861.9866,2000,8,1992,608,1392,4835,177,4658,559,27,532,965,0,965
602902,2300,1564,1428,136,736,2102,240,664,590,417,160,93769.48529,1192,153,1039,165,1027,2975,129,2846,479,0,479,340,0,340
603001,3292,2407,2051,356,885,2939,419,1060,822,402,171,109528.6416,1416,56,1360,372,1044,4241,280,3961,543,34,509,567,0,567
603002,3536,2533,2256,266,1003,2890,632,1022,736,351,113,107987.7177,1371,46,1325,308,1063,4502,739,3763,681,196,485,574,0,574
603100,3081,2143,2089,54,938,2517,190,812,725,496,207,129329.9667,1473,40,1433,326,1147,3800,310,3490,418,92,326,610,0,610
603201,3752,2439,2219,201,1313,3261,626,615,865,566,515,104357.4521,1781,17,1764,561,1220,4440,294,4146,520,54,466,697,0,697
603202,2241,1497,1438,42,744,2016,65,382,398,444,476,181009.8571,1294,8,1286,334,960,2591,106,2485,351,8,343,584,0,584
603301,4786,3471,3238,217,1315,4428,389,893,1569,988,365,173969.344,2263,29,2234,511,1752,5755,604,5151,792,183,609,1121,0,1121
603302,5199,3620,3459,161,1579,4190,215,1217,775,1081,548,179503.5668,2266,16,2250,683,1583,6214,155,6059,298,0,298,1177,0,1177
603303,2657,1418,1201,217,1239,2468,220,744,504,580,349,119521.9941,1233,32,1201,312,921,3179,126,3053,622,27,595,670,0,670
603400,6514,4389,4245,144,2125,5882,471,1517,1586,1364,648,124930.1887,3107,18,3089,798,2309,7908,351,7557,1458,104,1354,1540,0,1540
603501,4960,3123,2893,230,1837,4385,204,453,664,1624,568,175520.2116,2433,0,2433,602,1831,5990,38,5952,301,0,301,1312,0,1312
603503,3668,2517,2384,101,1151,3271,66,293,463,1018,847,227145.8937,1608,25,1583,489,1119,4827,22,4805,315,10,305,984,12,972
603504,2643,1676,1562,105,967,2314,57,495,452,728,320,225837.7336,1051,4,1047,365,686,3253,31,3222,301,0,301,683,0,683
603505,3074,2363,2197,166,711,2787,101,894,579,833,294,133453.6184,1350,17,1333,385,965,3700,43,3657,392,34,358,537,0,537
